,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",4.97,0.08,2.85,0.10,-0.02,-0.01,0.21,0.44,0.36,-0.14,-0.78,-2.25,-3.35,-5.31,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",5.29,0.08,2.80,0.10,-0.03,-0.62,0.38,0.98,0.12,-0.20,-0.78,-1.74,-3.38,-5.58,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",4.38,0.07,2.51,0.09,-0.03,-0.11,0.58,0.65,-0.09,-0.89,-1.00,-2.09,-3.14,-4.72,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW30,ROW36)",5.25,0.08,2.77,0.10,-0.03,-0.71,0.41,0.99,-0.01,-0.16,-0.66,-1.76,-3.36,-5.55,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",5.18,0.09,2.89,0.09,-0.08,0.30,0.48,0.69,0.33,-0.09,-1.65,-1.69,-3.62,-5.51,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW30)",4.77,0.08,2.81,0.10,-0.11,0.12,0.10,0.27,0.40,-0.23,-0.63,-2.06,-3.51,-5.21,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",5.06,0.08,2.86,0.09,-0.13,0.27,0.53,0.56,0.41,-0.16,-1.53,-1.70,-3.64,-5.45,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",4.15,0.07,2.38,0.09,-0.17,0.30,-0.15,0.39,-0.40,-0.42,-1.19,-1.77,-2.89,-4.48,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30,ROW36)",4.13,0.07,2.35,0.09,-0.20,0.29,-0.19,0.36,-0.34,-0.44,-1.26,-1.62,-2.89,-4.51,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",5.07,0.08,2.85,0.09,-0.22,0.28,0.70,0.35,0.61,-0.26,-1.24,-2.16,-3.39,-5.58,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",4.91,0.08,2.81,0.09,-0.24,0.01,0.86,0.22,0.82,-0.32,-1.17,-2.17,-3.45,-5.47,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",3.81,0.07,2.42,0.09,-0.28,0.04,0.63,0.30,0.08,-0.93,-0.83,-2.68,-2.75,-4.44,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",3.37,0.07,2.43,0.09,-0.30,0.24,0.19,-0.02,-0.19,-0.30,-0.89,-2.65,-2.89,-4.11,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30)",3.50,0.07,2.33,0.10,-0.32,-0.46,-0.33,0.83,-0.24,-0.08,-0.56,-2.21,-3.31,-4.17,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26,ROW30,ROW36)",3.88,0.07,2.42,0.10,-0.34,-0.38,0.21,0.39,0.15,-0.36,-1.40,-1.52,-3.16,-4.50,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",3.36,0.07,2.39,0.09,-0.34,0.19,0.14,-0.06,-0.30,-0.27,-0.69,-2.59,-2.86,-4.15,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",3.56,0.07,2.37,0.10,-0.35,-0.32,-0.21,0.77,-0.25,-0.19,-0.65,-2.06,-3.34,-4.25,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",3.80,0.07,2.46,0.09,-0.36,0.37,0.54,0.31,0.21,-1.10,-1.02,-2.58,-2.71,-4.50,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",3.96,0.07,2.45,0.09,-0.37,-0.21,0.11,0.40,0.34,-0.53,-1.41,-1.61,-3.03,-4.60,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",3.77,0.07,2.30,0.09,-0.47,0.52,-0.01,0.02,-0.14,-0.92,-0.93,-1.72,-2.69,-4.47,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW24,ROW26,ROW30)",3.68,0.07,2.28,0.09,-0.51,0.56,0.00,-0.13,-0.09,-0.88,-0.93,-1.71,-2.74,-4.43,#N/A
RONA,-3.93,-0.02,-0.80,0.10,-1.74,0.02,1.22,-1.16,-0.48,-0.94,-1.43,1.21,1.25,1.99,-1.41
 Sector    Name,-3.28,#N/A,#N/A,#N/A,-1.82,1.52,0.64,-4.31,0.13,-0.07,0.15,2.48,0.52,-1.23,#N/A
IQS Rank,0.89,0.04,1.41,0.10,-2.25,-0.21,-1.01,-0.50,-1.01,-0.68,-1.25,-1.71,-1.91,-3.21,-3.02
